match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,32,0.718,26,0.0521,0.0273,0.71,6,0.0002,0.0001,0.0,
1,Greedy_Agent,PIMC_Agent,0,Greedy_Agent,132,3.954,42,0.0005,0.0002,0.01,90,0.1112,0.0435,3.92,
2,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,31,0.677,24,0.0692,0.0278,0.67,7,0.0003,0.0002,0.0,
3,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,64,1.881,21,0.0004,0.0001,0.0,43,0.1428,0.0433,1.86,
4,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,15,0.129,12,0.0212,0.0104,0.12,3,0.0001,0.0001,0.0,
5,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,21,0.299,7,0.0002,0.0001,0.0,14,0.0466,0.0209,0.29,
6,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,21,0.225,16,0.0454,0.0137,0.22,5,0.0002,0.0001,0.0,
7,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,25,0.517,8,0.0007,0.0002,0.0,17,0.0703,0.03,0.51,
8,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,18,0.258,15,0.0545,0.0169,0.25,3,0.0003,0.0001,0.0,
9,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,63,1.564,19,0.0002,0.0001,0.0,44,0.0892,0.0352,1.55,
10,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,51,1.226,35,0.1544,0.0346,1.21,16,0.0004,0.0002,0.0,
11,Greedy_Agent,PIMC_Agent,0,Greedy_Agent,117,2.666,39,0.0003,0.0001,0.01,78,0.0918,0.0338,2.64,
12,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,79,1.995,62,0.1114,0.0319,1.98,17,0.0003,0.0001,0.0,
13,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,60,1.698,21,0.0002,0.0001,0.0,39,0.137,0.0432,1.68,
14,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,32,0.728,25,0.0689,0.0288,0.72,7,0.0001,0.0001,0.0,
15,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,53,0.968,18,0.0003,0.0001,0.0,35,0.0976,0.0273,0.96,
