match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Random_Agent,1,Random_Agent,46,0.796,25,0.1089,0.0314,0.78,21,0.0002,0.0001,0.0,
1,Random_Agent,PIMC_Agent,1,PIMC_Agent,18,0.164,9,0.0003,0.0001,0.0,9,0.0384,0.0177,0.16,
2,PIMC_Agent,Random_Agent,1,Random_Agent,194,4.423,80,0.1279,0.0546,4.37,114,0.0003,0.0001,0.01,
3,Random_Agent,PIMC_Agent,1,PIMC_Agent,79,1.754,34,0.0002,0.0001,0.0,45,0.1229,0.0385,1.73,
4,PIMC_Agent,Random_Agent,0,PIMC_Agent,35,0.68,22,0.0822,0.0305,0.67,13,0.0002,0.0001,0.0,
5,Random_Agent,PIMC_Agent,0,Random_Agent,72,1.44,31,0.0002,0.0001,0.0,41,0.1023,0.0347,1.42,
6,PIMC_Agent,Random_Agent,1,Random_Agent,18,0.151,8,0.0579,0.0181,0.15,10,0.0002,0.0001,0.0,
7,Random_Agent,PIMC_Agent,0,Random_Agent,152,2.635,81,0.0011,0.0001,0.01,71,0.105,0.0366,2.6,
8,PIMC_Agent,Random_Agent,0,PIMC_Agent,31,0.463,18,0.1083,0.0253,0.46,13,0.0001,0.0001,0.0,
9,Random_Agent,PIMC_Agent,0,Random_Agent,95,1.423,52,0.0002,0.0001,0.0,43,0.1228,0.0326,1.4,
10,PIMC_Agent,Random_Agent,0,PIMC_Agent,76,1.411,42,0.0784,0.0332,1.39,34,0.0002,0.0001,0.0,
11,Random_Agent,PIMC_Agent,0,Random_Agent,192,4.984,99,0.0004,0.0001,0.01,93,0.1379,0.0531,4.94,
12,PIMC_Agent,Random_Agent,1,Random_Agent,57,0.773,31,0.066,0.0244,0.76,26,0.0008,0.0001,0.0,
13,Random_Agent,PIMC_Agent,1,PIMC_Agent,24,0.437,9,0.0002,0.0001,0.0,15,0.126,0.0287,0.43,
14,PIMC_Agent,Random_Agent,1,Random_Agent,84,1.418,42,0.0674,0.0333,1.4,42,0.0002,0.0001,0.0,
15,Random_Agent,PIMC_Agent,0,Random_Agent,125,2.588,68,0.0002,0.0001,0.01,57,0.1397,0.0449,2.56,
