match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,73,3.307,53,0.1776,0.0621,3.29,20,0.0002,0.0001,0.0,
1,Greedy_Agent,PIMC_Agent,0,Greedy_Agent,34,0.924,14,0.0003,0.0001,0.0,20,0.1362,0.0457,0.91,
2,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,53,1.987,37,0.1386,0.0533,1.97,16,0.0003,0.0001,0.0,
3,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,46,2.524,10,0.0003,0.0001,0.0,36,0.1732,0.0698,2.51,
4,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,19,0.617,16,0.1356,0.0383,0.61,3,0.0002,0.0001,0.0,
5,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,25,0.965,11,0.0004,0.0001,0.0,14,0.2118,0.0684,0.96,
6,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,14,0.202,10,0.0655,0.0198,0.2,4,0.0002,0.0001,0.0,
7,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,27,0.921,9,0.0002,0.0001,0.0,18,0.1426,0.0508,0.91,
8,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,29,0.845,22,0.1136,0.0381,0.84,7,0.0002,0.0001,0.0,
9,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,81,4.44,27,0.0006,0.0002,0.0,54,0.2145,0.0818,4.42,
10,PIMC_Agent,Greedy_Agent,1,Greedy_Agent,100,5.01,70,0.2326,0.0712,4.98,30,0.0008,0.0002,0.0,
11,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,28,1.032,8,0.0002,0.0001,0.0,20,0.1354,0.0513,1.03,
12,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,20,0.695,15,0.1521,0.0459,0.69,5,0.0004,0.0002,0.0,
13,Greedy_Agent,PIMC_Agent,0,Greedy_Agent,77,3.285,25,0.0002,0.0001,0.0,52,0.1626,0.0628,3.27,
14,PIMC_Agent,Greedy_Agent,1,Greedy_Agent,17,0.495,9,0.1063,0.0544,0.49,8,0.0003,0.0001,0.0,
15,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,54,2.673,16,0.0002,0.0001,0.0,38,0.1728,0.07,2.66,
