match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Random_Agent,1,Random_Agent,41,0.948,20,0.1164,0.0469,0.94,21,0.0002,0.0001,0.0,
1,Random_Agent,PIMC_Agent,0,Random_Agent,118,4.853,56,0.0016,0.0001,0.01,62,0.2329,0.0778,4.82,
2,PIMC_Agent,Random_Agent,0,PIMC_Agent,12,0.173,9,0.0606,0.0188,0.17,3,0.0003,0.0002,0.0,
3,Random_Agent,PIMC_Agent,1,PIMC_Agent,24,0.937,8,0.0002,0.0001,0.0,16,0.1534,0.0582,0.93,
4,PIMC_Agent,Random_Agent,0,PIMC_Agent,172,7.467,89,0.197,0.0834,7.42,83,0.0007,0.0001,0.01,
5,Random_Agent,PIMC_Agent,0,Random_Agent,111,4.094,58,0.0003,0.0001,0.01,53,0.2041,0.0767,4.06,
6,PIMC_Agent,Random_Agent,1,Random_Agent,90,2.772,50,0.1484,0.0549,2.75,40,0.0016,0.0002,0.01,
7,Random_Agent,PIMC_Agent,0,Random_Agent,48,1.085,27,0.0002,0.0001,0.0,21,0.1396,0.0511,1.07,
8,PIMC_Agent,Random_Agent,1,Random_Agent,38,0.59,17,0.0728,0.0342,0.58,21,0.0003,0.0001,0.0,
9,Random_Agent,PIMC_Agent,0,Random_Agent,95,4.026,48,0.0012,0.0001,0.01,47,0.2284,0.0852,4.0,
10,PIMC_Agent,Random_Agent,1,Random_Agent,196,9.609,91,0.2377,0.105,9.56,105,0.0003,0.0001,0.01,
11,Random_Agent,PIMC_Agent,1,PIMC_Agent,19,0.527,4,0.0003,0.0002,0.0,15,0.1277,0.0348,0.52,
12,PIMC_Agent,Random_Agent,0,PIMC_Agent,26,0.453,13,0.0787,0.0344,0.45,13,0.0004,0.0001,0.0,
13,Random_Agent,PIMC_Agent,1,PIMC_Agent,42,1.352,17,0.0003,0.0001,0.0,25,0.155,0.0536,1.34,
14,PIMC_Agent,Random_Agent,0,PIMC_Agent,23,0.579,16,0.1413,0.0359,0.57,7,0.0002,0.0001,0.0,
15,Random_Agent,PIMC_Agent,0,Random_Agent,39,1.099,18,0.0002,0.0001,0.0,21,0.1453,0.0519,1.09,
