match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Random_Agent,0,PIMC_Agent,25,0.47,12,0.1322,0.0387,0.46,13,0.0001,0.0001,0.0,
1,Random_Agent,PIMC_Agent,0,Random_Agent,63,2.375,29,0.0008,0.0002,0.0,34,0.1832,0.0693,2.36,
2,PIMC_Agent,Random_Agent,0,PIMC_Agent,20,0.565,14,0.1521,0.04,0.56,6,0.0001,0.0001,0.0,
3,Random_Agent,PIMC_Agent,0,Random_Agent,68,2.006,36,0.0003,0.0001,0.0,32,0.1492,0.0622,1.99,
4,PIMC_Agent,Random_Agent,1,Random_Agent,103,4.193,58,0.203,0.0718,4.17,45,0.0005,0.0001,0.01,
5,Random_Agent,PIMC_Agent,1,PIMC_Agent,17,0.206,8,0.0002,0.0001,0.0,9,0.0714,0.0224,0.2,
6,PIMC_Agent,Random_Agent,0,PIMC_Agent,21,0.442,14,0.1082,0.0312,0.44,7,0.0002,0.0001,0.0,
7,Random_Agent,PIMC_Agent,0,Random_Agent,149,6.438,82,0.0003,0.0001,0.01,67,0.2056,0.0955,6.4,
8,PIMC_Agent,Random_Agent,0,PIMC_Agent,70,2.177,39,0.1759,0.0554,2.16,31,0.0002,0.0001,0.0,
9,Random_Agent,PIMC_Agent,1,PIMC_Agent,20,0.334,11,0.0002,0.0001,0.0,9,0.0923,0.0365,0.33,
10,PIMC_Agent,Random_Agent,1,Random_Agent,219,9.637,104,0.2374,0.0921,9.58,115,0.0003,0.0001,0.02,
11,Random_Agent,PIMC_Agent,0,Random_Agent,17,0.117,13,0.0002,0.0001,0.0,4,0.0473,0.0279,0.11,
12,PIMC_Agent,Random_Agent,0,PIMC_Agent,25,0.725,18,0.1114,0.0399,0.72,7,0.0003,0.0001,0.0,
13,Random_Agent,PIMC_Agent,0,Random_Agent,168,5.67,104,0.0003,0.0001,0.01,64,0.1888,0.0879,5.63,
14,PIMC_Agent,Random_Agent,0,PIMC_Agent,22,0.615,15,0.1418,0.0406,0.61,7,0.0003,0.0001,0.0,
15,Random_Agent,PIMC_Agent,0,Random_Agent,65,1.879,32,0.0003,0.0001,0.0,33,0.1412,0.0565,1.86,
