match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Greedy_Agent,1,Greedy_Agent,140,11.977,103,0.3002,0.116,11.95,37,0.0003,0.0001,0.01,
1,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,14,0.778,5,0.0003,0.0001,0.0,9,0.1753,0.0858,0.77,
2,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,65,4.102,49,0.2463,0.0834,4.09,16,0.0002,0.0001,0.0,
3,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,40,2.225,9,0.0003,0.0001,0.0,31,0.2655,0.0715,2.22,
4,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,18,0.915,15,0.2582,0.0607,0.91,3,0.0007,0.0003,0.0,
5,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,33,1.756,8,0.0002,0.0001,0.0,25,0.1935,0.0699,1.75,
6,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,25,2.151,21,0.3332,0.1021,2.14,4,0.0005,0.0002,0.0,
7,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,29,2.272,6,0.0003,0.0002,0.0,23,0.2584,0.0985,2.26,
8,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,54,2.763,40,0.1788,0.0688,2.75,14,0.0002,0.0001,0.0,
9,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,56,4.743,12,0.0003,0.0001,0.0,44,0.2454,0.1075,4.73,
10,PIMC_Agent,Greedy_Agent,1,Greedy_Agent,126,9.753,97,0.3599,0.1003,9.73,29,0.0003,0.0001,0.0,
11,Greedy_Agent,PIMC_Agent,0,Greedy_Agent,134,10.333,34,0.0002,0.0001,0.0,100,0.3446,0.103,10.3,
12,PIMC_Agent,Greedy_Agent,1,Greedy_Agent,21,0.994,14,0.1988,0.0707,0.99,7,0.0001,0.0001,0.0,
13,Greedy_Agent,PIMC_Agent,0,Greedy_Agent,83,4.694,26,0.0002,0.0001,0.0,57,0.2374,0.082,4.67,
14,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,24,1.24,21,0.2428,0.0588,1.23,3,0.0004,0.0002,0.0,
15,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,127,9.73,33,0.0002,0.0001,0.0,94,0.3546,0.1032,9.7,
