match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Random_Agent,1,Random_Agent,100,6.912,59,0.3096,0.1167,6.88,41,0.0003,0.0001,0.01,
1,Random_Agent,PIMC_Agent,1,PIMC_Agent,31,1.722,9,0.0002,0.0001,0.0,22,0.2678,0.0779,1.71,
2,PIMC_Agent,Random_Agent,0,PIMC_Agent,28,1.443,23,0.238,0.0625,1.44,5,0.0002,0.0001,0.0,
3,Random_Agent,PIMC_Agent,0,Random_Agent,116,4.039,60,0.0002,0.0001,0.01,56,0.1972,0.0716,4.01,
4,PIMC_Agent,Random_Agent,0,PIMC_Agent,14,0.518,11,0.1926,0.0467,0.51,3,0.0003,0.0002,0.0,
5,Random_Agent,PIMC_Agent,0,Random_Agent,60,3.69,27,0.0002,0.0001,0.0,33,0.2505,0.1113,3.67,
6,PIMC_Agent,Random_Agent,1,Random_Agent,145,8.405,87,0.2856,0.0962,8.37,58,0.0003,0.0001,0.01,
7,Random_Agent,PIMC_Agent,0,Random_Agent,111,7.213,52,0.0004,0.0001,0.01,59,0.3243,0.1217,7.18,
8,PIMC_Agent,Random_Agent,0,PIMC_Agent,93,6.785,62,0.4062,0.1091,6.76,31,0.0003,0.0001,0.0,
9,Random_Agent,PIMC_Agent,1,PIMC_Agent,20,0.782,9,0.0002,0.0001,0.0,11,0.2236,0.0707,0.78,
10,PIMC_Agent,Random_Agent,1,Random_Agent,161,11.961,89,0.3565,0.1339,11.92,72,0.0003,0.0001,0.01,
11,Random_Agent,PIMC_Agent,0,Random_Agent,107,6.215,43,0.0002,0.0001,0.01,64,0.3723,0.0967,6.19,
12,PIMC_Agent,Random_Agent,1,Random_Agent,61,3.906,38,0.2732,0.1024,3.89,23,0.0003,0.0001,0.0,
13,Random_Agent,PIMC_Agent,1,PIMC_Agent,12,0.434,4,0.0002,0.0001,0.0,8,0.178,0.0539,0.43,
14,PIMC_Agent,Random_Agent,1,Random_Agent,62,3.384,34,0.2678,0.0991,3.37,28,0.0002,0.0001,0.0,
15,Random_Agent,PIMC_Agent,0,Random_Agent,40,1.772,23,0.0003,0.0001,0.0,17,0.2166,0.1037,1.76,
