match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,30,5.068,23,0.9006,0.22,5.06,7,0.0002,0.0001,0.0,
1,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,113,27.516,36,0.0002,0.0001,0.0,77,1.1539,0.357,27.49,
2,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,63,14.127,46,0.8436,0.3067,14.11,17,0.0003,0.0001,0.0,
3,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,24,4.78,7,0.0002,0.0001,0.0,17,0.6927,0.2808,4.77,
4,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,32,4.507,19,0.7774,0.2367,4.5,13,0.0002,0.0001,0.0,
5,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,33,5.983,12,0.0002,0.0001,0.0,21,0.9389,0.2844,5.97,
6,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,25,4.022,16,0.6597,0.251,4.02,9,0.0001,0.0001,0.0,
7,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,35,8.265,12,0.0003,0.0001,0.0,23,1.0292,0.3589,8.25,
8,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,20,2.505,14,0.6109,0.1786,2.5,6,0.0001,0.0001,0.0,
9,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,67,15.457,25,0.0002,0.0001,0.0,42,0.9473,0.3676,15.44,
10,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,20,2.173,14,0.6258,0.1547,2.17,6,0.0003,0.0001,0.0,
11,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,34,4.72,13,0.0003,0.0001,0.0,21,0.7587,0.2243,4.71,
12,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,22,2.016,11,0.5165,0.1827,2.01,11,0.0002,0.0001,0.0,
13,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,54,9.139,15,0.0002,0.0001,0.0,39,0.8588,0.234,9.12,
14,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,53,14.197,41,0.9686,0.3459,14.18,12,0.0002,0.0001,0.0,
15,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,33,5.89,8,0.0002,0.0001,0.0,25,0.8107,0.2352,5.88,
