match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Random_Agent,1,Random_Agent,22,0.752,7,0.2408,0.1063,0.74,15,0.0006,0.0001,0.0,
1,Random_Agent,PIMC_Agent,1,PIMC_Agent,13,0.466,3,0.0002,0.0001,0.0,10,0.1659,0.0463,0.46,
2,PIMC_Agent,Random_Agent,0,PIMC_Agent,21,1.115,13,0.3115,0.0853,1.11,8,0.0002,0.0001,0.0,
3,Random_Agent,PIMC_Agent,1,PIMC_Agent,36,1.798,17,0.0002,0.0001,0.0,19,0.3582,0.0942,1.79,
4,PIMC_Agent,Random_Agent,0,PIMC_Agent,23,1.64,15,0.411,0.1089,1.63,8,0.0002,0.0001,0.0,
5,Random_Agent,PIMC_Agent,1,PIMC_Agent,69,5.6,28,0.0002,0.0001,0.0,41,0.4436,0.1362,5.58,
6,PIMC_Agent,Random_Agent,0,PIMC_Agent,95,8.534,58,0.4503,0.1468,8.51,37,0.0002,0.0001,0.0,
7,Random_Agent,PIMC_Agent,1,PIMC_Agent,177,27.525,83,0.0003,0.0001,0.01,94,0.6603,0.2923,27.48,
8,PIMC_Agent,Random_Agent,0,PIMC_Agent,43,2.781,27,0.3054,0.1025,2.77,16,0.0003,0.0001,0.0,
9,Random_Agent,PIMC_Agent,1,PIMC_Agent,66,7.733,21,0.0002,0.0001,0.0,45,0.4736,0.1715,7.72,
10,PIMC_Agent,Random_Agent,0,PIMC_Agent,36,2.788,25,0.3822,0.1112,2.78,11,0.0002,0.0001,0.0,
11,Random_Agent,PIMC_Agent,1,PIMC_Agent,139,14.175,58,0.0002,0.0001,0.01,81,0.5254,0.1746,14.14,
12,PIMC_Agent,Random_Agent,0,PIMC_Agent,19,1.004,13,0.2707,0.0768,1.0,6,0.0001,0.0001,0.0,
13,Random_Agent,PIMC_Agent,1,PIMC_Agent,22,1.609,9,0.0002,0.0001,0.0,13,0.3647,0.1233,1.6,
14,PIMC_Agent,Random_Agent,0,PIMC_Agent,27,1.499,17,0.2837,0.0877,1.49,10,0.0002,0.0001,0.0,
15,Random_Agent,PIMC_Agent,1,PIMC_Agent,22,0.946,8,0.0002,0.0001,0.0,14,0.2008,0.0671,0.94,
