match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,18,0.52,15,0.1025,0.0343,0.52,3,0.0002,0.0002,0.0,
1,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,33,1.898,12,0.0002,0.0001,0.0,21,0.1998,0.09,1.89,
2,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,18,0.454,14,0.0833,0.0321,0.45,4,0.0002,0.0001,0.0,
3,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,14,0.291,5,0.0001,0.0001,0.0,9,0.0917,0.032,0.29,
4,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,16,0.386,13,0.0726,0.0294,0.38,3,0.0001,0.0001,0.0,
5,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,20,0.567,8,0.0002,0.0001,0.0,12,0.1452,0.0468,0.56,
6,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,16,0.329,12,0.0949,0.0271,0.33,4,0.0002,0.0001,0.0,
7,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,30,1.282,10,0.0005,0.0001,0.0,20,0.2215,0.0637,1.27,
8,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,18,0.759,14,0.1831,0.0539,0.75,4,0.0003,0.0001,0.0,
9,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,23,0.852,9,0.0002,0.0001,0.0,14,0.1551,0.0604,0.85,
10,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,16,0.369,13,0.1153,0.028,0.36,3,0.0005,0.0002,0.0,
11,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,18,0.495,5,0.0003,0.0002,0.0,13,0.1458,0.0377,0.49,
12,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,11,0.175,8,0.0641,0.0215,0.17,3,0.0002,0.0001,0.0,
13,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,25,0.955,9,0.0003,0.0001,0.0,16,0.1568,0.0593,0.95,
14,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,17,0.426,14,0.1042,0.0301,0.42,3,0.0002,0.0001,0.0,
15,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,47,3.048,11,0.0002,0.0001,0.0,36,0.2635,0.0844,3.04,
16,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,15,0.434,12,0.1023,0.0358,0.43,3,0.0002,0.0001,0.0,
17,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,25,0.819,9,0.0003,0.0001,0.0,16,0.1913,0.0508,0.81,
18,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,49,2.957,37,0.2192,0.0796,2.95,12,0.0002,0.0001,0.0,
19,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,19,0.416,8,0.0002,0.0001,0.0,11,0.1014,0.0374,0.41,
20,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,15,0.444,12,0.1546,0.0367,0.44,3,0.0001,0.0001,0.0,
21,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,41,2.12,14,0.0012,0.0002,0.0,27,0.2423,0.0781,2.11,
22,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,14,0.322,11,0.1196,0.029,0.32,3,0.0002,0.0001,0.0,
23,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,32,1.59,10,0.0003,0.0001,0.0,22,0.2075,0.0719,1.58,
24,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,30,1.709,23,0.1961,0.0739,1.7,7,0.0002,0.0002,0.0,
25,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,18,0.583,5,0.0003,0.0001,0.0,13,0.1101,0.0444,0.58,
26,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,18,0.412,15,0.122,0.0272,0.41,3,0.0002,0.0002,0.0,
27,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,15,0.36,6,0.0001,0.0001,0.0,9,0.1037,0.0396,0.36,
28,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,15,0.405,12,0.1046,0.0334,0.4,3,0.0002,0.0001,0.0,
29,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,19,0.612,5,0.0002,0.0001,0.0,14,0.1325,0.0433,0.61,
30,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,32,0.926,24,0.1233,0.0383,0.92,8,0.0004,0.0001,0.0,
31,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,17,0.322,7,0.0001,0.0001,0.0,10,0.1075,0.0318,0.32,
