match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Random_Agent,0,PIMC_Agent,17,0.508,14,0.1095,0.036,0.5,3,0.0001,0.0001,0.0,
1,Random_Agent,PIMC_Agent,1,PIMC_Agent,26,0.817,10,0.0005,0.0001,0.0,16,0.2002,0.0506,0.81,
2,PIMC_Agent,Random_Agent,0,PIMC_Agent,28,0.798,18,0.1895,0.044,0.79,10,0.0003,0.0001,0.0,
3,Random_Agent,PIMC_Agent,1,PIMC_Agent,19,0.434,6,0.0006,0.0002,0.0,13,0.092,0.033,0.43,
4,PIMC_Agent,Random_Agent,0,PIMC_Agent,26,0.916,17,0.1315,0.0535,0.91,9,0.0002,0.0001,0.0,
5,Random_Agent,PIMC_Agent,1,PIMC_Agent,25,1.252,7,0.0002,0.0001,0.0,18,0.1886,0.0692,1.24,
6,PIMC_Agent,Random_Agent,0,PIMC_Agent,16,0.434,12,0.1053,0.0358,0.43,4,0.0002,0.0001,0.0,
7,Random_Agent,PIMC_Agent,1,PIMC_Agent,32,1.388,11,0.0002,0.0001,0.0,21,0.1984,0.0657,1.38,
8,PIMC_Agent,Random_Agent,0,PIMC_Agent,21,0.469,16,0.0804,0.029,0.46,5,0.0002,0.0001,0.0,
9,Random_Agent,PIMC_Agent,1,PIMC_Agent,13,0.174,6,0.0003,0.0001,0.0,7,0.063,0.0242,0.17,
10,PIMC_Agent,Random_Agent,0,PIMC_Agent,19,0.498,16,0.0779,0.0308,0.49,3,0.0002,0.0001,0.0,
11,Random_Agent,PIMC_Agent,1,PIMC_Agent,23,0.411,12,0.0002,0.0001,0.0,11,0.0979,0.0369,0.41,
12,PIMC_Agent,Random_Agent,0,PIMC_Agent,60,2.587,40,0.259,0.0643,2.57,20,0.0003,0.0001,0.0,
13,Random_Agent,PIMC_Agent,1,PIMC_Agent,32,0.828,15,0.0002,0.0001,0.0,17,0.1687,0.0482,0.82,
14,PIMC_Agent,Random_Agent,0,PIMC_Agent,18,0.265,12,0.0701,0.0218,0.26,6,0.0002,0.0001,0.0,
15,Random_Agent,PIMC_Agent,0,Random_Agent,49,1.34,28,0.0002,0.0001,0.0,21,0.1654,0.0633,1.33,
16,PIMC_Agent,Random_Agent,1,Random_Agent,28,0.498,12,0.1703,0.0409,0.49,16,0.0002,0.0001,0.0,
17,Random_Agent,PIMC_Agent,1,PIMC_Agent,26,1.089,7,0.0001,0.0001,0.0,19,0.18,0.057,1.08,
18,PIMC_Agent,Random_Agent,0,PIMC_Agent,30,1.078,20,0.2167,0.0535,1.07,10,0.0002,0.0001,0.0,
19,Random_Agent,PIMC_Agent,1,PIMC_Agent,29,0.82,12,0.0003,0.0001,0.0,17,0.1319,0.0478,0.81,
20,PIMC_Agent,Random_Agent,0,PIMC_Agent,35,0.94,25,0.137,0.0373,0.93,10,0.0002,0.0001,0.0,
21,Random_Agent,PIMC_Agent,1,PIMC_Agent,74,2.842,38,0.0002,0.0001,0.0,36,0.2115,0.0784,2.82,
22,PIMC_Agent,Random_Agent,0,PIMC_Agent,148,6.812,72,0.2585,0.0941,6.78,76,0.0002,0.0001,0.01,
23,Random_Agent,PIMC_Agent,1,PIMC_Agent,22,0.724,8,0.0004,0.0002,0.0,14,0.137,0.0512,0.72,
24,PIMC_Agent,Random_Agent,0,PIMC_Agent,20,0.505,13,0.115,0.0385,0.5,7,0.0002,0.0001,0.0,
25,Random_Agent,PIMC_Agent,1,PIMC_Agent,58,3.278,24,0.0002,0.0001,0.0,34,0.2043,0.096,3.26,
26,PIMC_Agent,Random_Agent,0,PIMC_Agent,17,0.239,11,0.0685,0.0213,0.23,6,0.0003,0.0001,0.0,
27,Random_Agent,PIMC_Agent,1,PIMC_Agent,33,1.353,10,0.0002,0.0001,0.0,23,0.1982,0.0585,1.35,
28,PIMC_Agent,Random_Agent,0,PIMC_Agent,22,0.484,16,0.1096,0.0298,0.48,6,0.0004,0.0002,0.0,
29,Random_Agent,PIMC_Agent,0,Random_Agent,226,11.743,112,0.0005,0.0001,0.01,114,0.2812,0.1026,11.69,
30,PIMC_Agent,Random_Agent,0,PIMC_Agent,18,0.569,16,0.1066,0.0353,0.56,2,0.0002,0.0002,0.0,
31,Random_Agent,PIMC_Agent,1,PIMC_Agent,21,0.631,6,0.0002,0.0001,0.0,15,0.1052,0.0417,0.63,
