match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,19,0.612,15,0.1422,0.0405,0.61,4,0.0006,0.0002,0.0,
1,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,30,1.178,12,0.0002,0.0001,0.0,18,0.1774,0.065,1.17,
2,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,15,0.381,12,0.1061,0.0314,0.38,3,0.0002,0.0001,0.0,
3,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,25,0.802,6,0.0003,0.0002,0.0,19,0.1302,0.0418,0.79,
4,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,17,0.356,14,0.093,0.0251,0.35,3,0.0001,0.0001,0.0,
5,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,18,0.446,6,0.0002,0.0001,0.0,12,0.1033,0.0368,0.44,
6,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,27,1.14,22,0.1705,0.0515,1.13,5,0.0003,0.0002,0.0,
7,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,31,1.012,11,0.0002,0.0001,0.0,20,0.1659,0.0502,1.0,
8,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,25,0.969,18,0.1663,0.0535,0.96,7,0.0002,0.0001,0.0,
9,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,38,1.695,9,0.0002,0.0001,0.0,29,0.1696,0.0581,1.69,
10,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,19,0.727,16,0.1751,0.0451,0.72,3,0.0005,0.0002,0.0,
11,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,31,1.04,10,0.0002,0.0001,0.0,21,0.1765,0.0492,1.03,
12,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,18,0.486,15,0.0973,0.0321,0.48,3,0.0002,0.0001,0.0,
13,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,28,0.921,7,0.0002,0.0001,0.0,21,0.1513,0.0435,0.91,
14,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,23,0.721,18,0.1081,0.0398,0.72,5,0.0001,0.0001,0.0,
15,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,52,1.66,20,0.0002,0.0001,0.0,32,0.1556,0.0515,1.65,
