match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Random_Agent,0,PIMC_Agent,17,0.527,15,0.1241,0.0348,0.52,2,0.0002,0.0001,0.0,
1,Random_Agent,PIMC_Agent,1,PIMC_Agent,17,0.371,6,0.0001,0.0001,0.0,11,0.0915,0.0334,0.37,
2,PIMC_Agent,Random_Agent,0,PIMC_Agent,19,0.337,13,0.0677,0.0256,0.33,6,0.0003,0.0001,0.0,
3,Random_Agent,PIMC_Agent,1,PIMC_Agent,26,0.6,12,0.0002,0.0001,0.0,14,0.1274,0.0424,0.59,
4,PIMC_Agent,Random_Agent,0,PIMC_Agent,20,0.589,17,0.1111,0.0343,0.58,3,0.0003,0.0002,0.0,
5,Random_Agent,PIMC_Agent,1,PIMC_Agent,25,0.857,6,0.0002,0.0001,0.0,19,0.1546,0.0448,0.85,
6,PIMC_Agent,Random_Agent,0,PIMC_Agent,32,0.767,17,0.1291,0.0446,0.76,15,0.0002,0.0001,0.0,
7,Random_Agent,PIMC_Agent,1,PIMC_Agent,14,0.157,7,0.0001,0.0001,0.0,7,0.0583,0.022,0.15,
8,PIMC_Agent,Random_Agent,0,PIMC_Agent,18,0.638,12,0.1492,0.0527,0.63,6,0.0003,0.0002,0.0,
9,Random_Agent,PIMC_Agent,1,PIMC_Agent,34,1.087,13,0.0002,0.0001,0.0,21,0.2055,0.0514,1.08,
10,PIMC_Agent,Random_Agent,0,PIMC_Agent,54,2.047,37,0.1554,0.055,2.04,17,0.0002,0.0001,0.0,
11,Random_Agent,PIMC_Agent,1,PIMC_Agent,40,0.973,17,0.0002,0.0001,0.0,23,0.1213,0.0419,0.96,
12,PIMC_Agent,Random_Agent,0,PIMC_Agent,16,0.264,10,0.1029,0.026,0.26,6,0.0003,0.0001,0.0,
13,Random_Agent,PIMC_Agent,1,PIMC_Agent,40,0.804,21,0.0002,0.0001,0.0,19,0.1289,0.0419,0.8,
14,PIMC_Agent,Random_Agent,0,PIMC_Agent,20,0.423,14,0.0699,0.0299,0.42,6,0.0002,0.0001,0.0,
15,Random_Agent,PIMC_Agent,1,PIMC_Agent,27,1.045,9,0.0001,0.0001,0.0,18,0.1678,0.0577,1.04,
