match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,14,0.71,11,0.2109,0.0643,0.71,3,0.0001,0.0001,0.0,
1,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,49,5.831,14,0.0002,0.0001,0.0,35,0.4499,0.1663,5.82,
2,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,43,5.605,30,0.5109,0.1865,5.59,13,0.0003,0.0001,0.0,
3,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,27,1.748,12,0.0002,0.0001,0.0,15,0.2295,0.116,1.74,
4,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,43,4.192,33,0.3823,0.1267,4.18,10,0.0002,0.0001,0.0,
5,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,28,2.424,10,0.0006,0.0002,0.0,18,0.3336,0.1341,2.41,
6,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,92,17.642,70,0.6599,0.2517,17.62,22,0.0002,0.0002,0.0,
7,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,88,11.269,29,0.0003,0.0001,0.0,59,0.4409,0.1906,11.25,
8,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,17,1.111,13,0.2501,0.0851,1.11,4,0.0002,0.0001,0.0,
9,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,15,0.673,5,0.0002,0.0001,0.0,10,0.1693,0.0669,0.67,
10,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,95,15.886,70,0.6015,0.2266,15.86,25,0.0003,0.0002,0.0,
11,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,24,2.407,7,0.0002,0.0001,0.0,17,0.4674,0.1412,2.4,
12,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,16,0.714,13,0.1639,0.0546,0.71,3,0.0001,0.0001,0.0,
13,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,52,7.711,16,0.0003,0.0001,0.0,36,0.563,0.2138,7.7,
14,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,20,1.399,17,0.2126,0.0819,1.39,3,0.0004,0.0002,0.0,
15,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,56,8.475,15,0.0003,0.0001,0.0,41,0.5647,0.2063,8.46,
