match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,15,0.593,12,0.1598,0.049,0.59,3,0.0002,0.0002,0.0,
1,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,32,2.377,11,0.0005,0.0002,0.0,21,0.4055,0.1128,2.37,
2,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,22,1.412,16,0.3144,0.0879,1.41,6,0.0003,0.0001,0.0,
3,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,23,1.477,6,0.0002,0.0001,0.0,17,0.2689,0.0865,1.47,
4,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,19,1.236,16,0.185,0.077,1.23,3,0.0001,0.0001,0.0,
5,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,35,2.458,14,0.0002,0.0001,0.0,21,0.3612,0.1167,2.45,
6,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,19,0.823,15,0.1713,0.0546,0.82,4,0.0002,0.0001,0.0,
7,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,21,1.723,5,0.0001,0.0001,0.0,16,0.3141,0.1073,1.72,
8,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,39,3.255,25,0.4441,0.1298,3.25,14,0.0002,0.0001,0.0,
9,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,20,1.117,7,0.0001,0.0001,0.0,13,0.2763,0.0856,1.11,
10,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,23,1.574,17,0.426,0.0922,1.57,6,0.0002,0.0001,0.0,
11,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,25,1.611,11,0.0003,0.0001,0.0,14,0.3159,0.1146,1.6,
12,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,22,1.183,13,0.4128,0.0906,1.18,9,0.0001,0.0001,0.0,
13,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,31,1.943,13,0.0001,0.0001,0.0,18,0.3588,0.1075,1.94,
14,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,19,0.907,14,0.2279,0.0645,0.9,5,0.0001,0.0001,0.0,
15,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,23,1.231,8,0.0001,0.0001,0.0,15,0.222,0.0817,1.23,
