match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Random_Agent,0,PIMC_Agent,116,23.142,70,1.0045,0.3298,23.08,46,0.0006,0.0003,0.01,
1,Random_Agent,PIMC_Agent,1,PIMC_Agent,48,9.494,16,0.0005,0.0003,0.0,32,0.9118,0.2959,9.47,
2,PIMC_Agent,Random_Agent,0,PIMC_Agent,82,13.796,45,0.8343,0.3056,13.75,37,0.0005,0.0003,0.01,
3,Random_Agent,PIMC_Agent,0,Random_Agent,183,47.917,86,0.0007,0.0003,0.03,97,1.2013,0.4929,47.81,
4,PIMC_Agent,Random_Agent,0,PIMC_Agent,20,3.787,14,0.673,0.2699,3.78,6,0.0003,0.0002,0.0,
5,Random_Agent,PIMC_Agent,1,PIMC_Agent,50,7.111,24,0.0004,0.0002,0.0,26,0.782,0.2727,7.09,
6,PIMC_Agent,Random_Agent,1,Random_Agent,119,18.465,61,1.2011,0.3016,18.4,58,0.0007,0.0003,0.02,
7,Random_Agent,PIMC_Agent,1,PIMC_Agent,123,24.191,58,0.0006,0.0003,0.02,65,1.0608,0.3711,24.12,
8,PIMC_Agent,Random_Agent,0,PIMC_Agent,232,62.96,123,1.2014,0.5108,62.83,109,0.0007,0.0003,0.04,
9,Random_Agent,PIMC_Agent,1,PIMC_Agent,40,5.279,17,0.0006,0.0002,0.0,23,0.6964,0.2287,5.26,
10,PIMC_Agent,Random_Agent,0,PIMC_Agent,21,1.805,13,0.4888,0.1382,1.8,8,0.0004,0.0002,0.0,
11,Random_Agent,PIMC_Agent,1,PIMC_Agent,21,2.384,7,0.0003,0.0002,0.0,14,0.5289,0.1696,2.38,
12,PIMC_Agent,Random_Agent,0,PIMC_Agent,27,2.89,20,0.399,0.144,2.88,7,0.0004,0.0002,0.0,
13,Random_Agent,PIMC_Agent,1,PIMC_Agent,106,14.134,53,0.0006,0.0003,0.01,53,1.2007,0.2657,14.08,
14,PIMC_Agent,Random_Agent,0,PIMC_Agent,16,1.113,13,0.4443,0.0851,1.11,3,0.0003,0.0002,0.0,
15,Random_Agent,PIMC_Agent,0,Random_Agent,56,6.31,25,0.0004,0.0002,0.01,31,0.6504,0.2028,6.29,
