match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Random_Agent,1,Random_Agent,93,14.442,51,0.9925,0.2823,14.4,42,0.002,0.0003,0.01,
1,Random_Agent,PIMC_Agent,1,PIMC_Agent,18,2.177,6,0.0003,0.0002,0.0,12,0.9527,0.1808,2.17,
2,PIMC_Agent,Random_Agent,1,Random_Agent,95,19.775,51,1.2005,0.3866,19.72,44,0.0009,0.0003,0.01,
3,Random_Agent,PIMC_Agent,1,PIMC_Agent,72,15.355,27,0.001,0.0003,0.01,45,1.1184,0.3404,15.32,
4,PIMC_Agent,Random_Agent,0,PIMC_Agent,70,11.379,40,0.9621,0.2836,11.35,30,0.0005,0.0002,0.01,
5,Random_Agent,PIMC_Agent,1,PIMC_Agent,27,5.294,8,0.0004,0.0002,0.0,19,0.7821,0.278,5.28,
6,PIMC_Agent,Random_Agent,0,PIMC_Agent,15,1.398,10,0.412,0.1388,1.39,5,0.0002,0.0002,0.0,
7,Random_Agent,PIMC_Agent,1,PIMC_Agent,21,3.646,5,0.0003,0.0002,0.0,16,0.9046,0.2272,3.64,
8,PIMC_Agent,Random_Agent,0,PIMC_Agent,93,16.883,53,1.2016,0.3176,16.83,40,0.0006,0.0003,0.01,
9,Random_Agent,PIMC_Agent,1,PIMC_Agent,145,24.498,68,0.0005,0.0002,0.02,77,0.9224,0.3173,24.43,
10,PIMC_Agent,Random_Agent,0,PIMC_Agent,83,14.65,44,0.8818,0.3319,14.6,39,0.0007,0.0003,0.01,
11,Random_Agent,PIMC_Agent,0,Random_Agent,155,31.647,73,0.0006,0.0003,0.02,82,1.2004,0.385,31.57,
12,PIMC_Agent,Random_Agent,0,PIMC_Agent,47,9.273,31,1.0714,0.2985,9.25,16,0.0004,0.0002,0.0,
13,Random_Agent,PIMC_Agent,1,PIMC_Agent,66,9.763,31,0.0003,0.0002,0.01,35,0.8689,0.2781,9.73,
14,PIMC_Agent,Random_Agent,0,PIMC_Agent,20,2.093,12,0.4828,0.1736,2.08,8,0.0004,0.0002,0.0,
15,Random_Agent,PIMC_Agent,0,Random_Agent,93,16.478,43,0.0006,0.0002,0.01,50,0.8532,0.3286,16.43,
16,PIMC_Agent,Random_Agent,0,PIMC_Agent,20,1.797,14,0.6043,0.1276,1.79,6,0.0006,0.0003,0.0,
17,Random_Agent,PIMC_Agent,1,PIMC_Agent,81,14.126,43,0.0004,0.0002,0.01,38,0.8787,0.3708,14.09,
18,PIMC_Agent,Random_Agent,0,PIMC_Agent,81,8.739,47,0.7116,0.1853,8.71,34,0.0005,0.0002,0.01,
19,Random_Agent,PIMC_Agent,1,PIMC_Agent,95,15.05,43,0.0004,0.0002,0.01,52,0.878,0.2887,15.01,
20,PIMC_Agent,Random_Agent,0,PIMC_Agent,36,5.12,23,0.7482,0.2218,5.1,13,0.0005,0.0003,0.0,
21,Random_Agent,PIMC_Agent,0,Random_Agent,81,12.4,36,0.0006,0.0003,0.01,45,1.0763,0.2747,12.36,
22,PIMC_Agent,Random_Agent,0,PIMC_Agent,19,2.213,12,0.6802,0.1837,2.2,7,0.0004,0.0002,0.0,
23,Random_Agent,PIMC_Agent,1,PIMC_Agent,72,16.019,27,0.0005,0.0003,0.01,45,0.9356,0.3552,15.98,
24,PIMC_Agent,Random_Agent,0,PIMC_Agent,22,2.301,16,0.3794,0.1429,2.29,6,0.0007,0.0003,0.0,
25,Random_Agent,PIMC_Agent,1,PIMC_Agent,29,4.96,10,0.0007,0.0002,0.0,19,0.7203,0.2604,4.95,
26,PIMC_Agent,Random_Agent,0,PIMC_Agent,52,6.574,29,0.6039,0.2258,6.55,23,0.0004,0.0002,0.01,
27,Random_Agent,PIMC_Agent,1,PIMC_Agent,22,4.654,4,0.0006,0.0003,0.0,18,0.7165,0.258,4.64,
28,PIMC_Agent,Random_Agent,0,PIMC_Agent,16,1.02,10,0.3164,0.101,1.01,6,0.0004,0.0002,0.0,
29,Random_Agent,PIMC_Agent,1,PIMC_Agent,30,4.548,8,0.0006,0.0002,0.0,22,0.8028,0.2061,4.53,
30,PIMC_Agent,Random_Agent,0,PIMC_Agent,24,3.029,19,0.5976,0.1589,3.02,5,0.0003,0.0002,0.0,
31,Random_Agent,PIMC_Agent,1,PIMC_Agent,25,2.291,12,0.0003,0.0002,0.0,13,0.5272,0.1752,2.28,
