match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,79,15.595,63,1.027,0.2472,15.57,16,0.0002,0.0002,0.0,
1,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,42,10.12,8,0.0002,0.0001,0.0,34,0.7669,0.2973,10.11,
2,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,51,7.596,42,0.6026,0.1805,7.58,9,0.0002,0.0001,0.0,
3,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,160,35.487,38,0.0002,0.0001,0.0,122,1.0107,0.2905,35.45,
4,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,48,8.56,39,0.6222,0.2191,8.55,9,0.0002,0.0001,0.0,
5,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,140,23.706,38,0.0004,0.0002,0.01,102,0.8332,0.232,23.66,
6,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,44,5.913,36,0.4162,0.1639,5.9,8,0.0002,0.0001,0.0,
7,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,103,19.127,20,0.0003,0.0001,0.0,83,0.8503,0.2301,19.1,
8,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,116,17.287,94,0.7441,0.1836,17.25,22,0.0003,0.0002,0.0,
9,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,83,11.264,21,0.0002,0.0001,0.0,62,0.7319,0.1813,11.24,
10,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,90,12.528,64,0.5475,0.1953,12.5,26,0.0002,0.0001,0.0,
11,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,56,10.174,9,0.0003,0.0001,0.0,47,0.6526,0.2162,10.16,
12,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,106,18.13,92,1.0604,0.1968,18.11,14,0.0003,0.0001,0.0,
13,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,80,9.611,17,0.0003,0.0001,0.0,63,0.5485,0.1522,9.59,
14,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,64,7.734,50,0.6162,0.1544,7.72,14,0.0002,0.0001,0.0,
15,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,70,7.296,18,0.0002,0.0001,0.0,52,0.4431,0.14,7.28,
