match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,30,12.177,26,1.6473,0.468,12.17,4,0.0005,0.0002,0.0,
1,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,164,76.58,75,0.0004,0.0002,0.01,89,2.5007,0.8598,76.52,
2,PIMC_Agent,Greedy_Agent,1,Greedy_Agent,94,41.654,72,1.8871,0.5781,41.62,22,0.0004,0.0002,0.01,
3,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,208,83.616,117,0.0012,0.0002,0.02,91,2.4597,0.918,83.54,
4,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,122,52.133,69,2.5004,0.7549,52.09,53,0.0008,0.0002,0.01,
5,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,159,82.327,70,0.0006,0.0002,0.01,89,2.5007,0.9244,82.27,
6,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,180,84.316,99,2.5006,0.851,84.25,81,0.0008,0.0002,0.02,
7,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,149,67.04,61,0.0005,0.0002,0.01,88,2.4203,0.7612,66.99,
8,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,85,40.523,52,2.2464,0.7788,40.5,33,0.0003,0.0001,0.0,
9,Greedy_Agent,PIMC_Agent,0,Greedy_Agent,140,48.929,67,0.0004,0.0002,0.01,73,1.9809,0.6696,48.88,
10,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,54,24.228,45,1.8037,0.5381,24.21,9,0.0002,0.0001,0.0,
11,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,35,10.915,13,0.0003,0.0001,0.0,22,1.5277,0.4957,10.9,
12,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,19,4.266,16,0.7582,0.2662,4.26,3,0.0005,0.0003,0.0,
13,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,180,49.869,107,0.0004,0.0001,0.01,73,2.5009,0.6824,49.81,
14,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,149,64.767,85,2.501,0.7613,64.71,64,0.0006,0.0002,0.01,
15,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,86,26.109,38,0.0003,0.0001,0.0,48,1.438,0.5434,26.08,
