match_id,name0,name1,winner,winner_name,actions,duration,p0_decisions,p0_max_s,p0_mean_s,p0_total_s,p1_decisions,p1_max_s,p1_mean_s,p1_total_s,error
0,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,67,19.481,34,2.0799,0.5724,19.46,33,0.0003,0.0001,0.0,
1,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,60,27.607,19,0.0006,0.0001,0.0,41,1.7071,0.673,27.59,
2,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,62,33.926,49,1.8755,0.692,33.91,13,0.0002,0.0001,0.0,
3,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,85,37.36,23,0.0004,0.0001,0.0,62,1.8285,0.6022,37.34,
4,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,63,35.541,55,2.1733,0.6459,35.52,8,0.0002,0.0001,0.0,
5,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,89,45.375,32,0.0005,0.0001,0.0,57,2.1863,0.7956,45.35,
6,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,49,19.174,40,1.5064,0.479,19.16,9,0.0003,0.0002,0.0,
7,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,60,35.353,10,0.0003,0.0001,0.0,50,1.9666,0.7067,35.34,
8,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,97,43.261,70,2.0006,0.6176,43.23,27,0.0003,0.0001,0.0,
9,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,56,17.839,24,0.0003,0.0001,0.0,32,1.6247,0.557,17.82,
10,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,67,35.518,57,2.0147,0.6228,35.5,10,0.0003,0.0002,0.0,
11,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,55,25.765,20,0.0003,0.0001,0.0,35,1.787,0.7357,25.75,
12,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,46,21.486,39,1.6709,0.5506,21.47,7,0.0002,0.0001,0.0,
13,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,84,39.141,19,0.0003,0.0001,0.0,65,1.7746,0.6018,39.12,
14,PIMC_Agent,Greedy_Agent,0,PIMC_Agent,31,10.5,23,1.1461,0.4561,10.49,8,0.0004,0.0001,0.0,
15,Greedy_Agent,PIMC_Agent,1,PIMC_Agent,54,16.282,17,0.0003,0.0001,0.0,37,1.7006,0.4396,16.27,
